iter	Passed	Remaining
401	15481	23030
402	15528	23003
403	15570	22969
404	15613	22937
405	15657	22908
406	15705	22883
407	15753	22858
408	15795	22824
409	15847	22804
410	15900	22787
411	15952	22766
412	16004	22747
413	16061	22734
414	16108	22706
415	16159	22685
416	16207	22659
417	16255	22632
418	16305	22610
419	16358	22590
420	16405	22561
421	16455	22538
422	16510	22521
423	16558	22493
424	16605	22466
425	16656	22443
426	16699	22408
427	16741	22373
428	16784	22340
429	16829	22308
430	16869	22271
431	16906	22229
432	16944	22188
433	16984	22149
434	17024	22112
435	17068	22079
436	17110	22043
437	17144	21997
438	17185	21961
439	17223	21920
440	17266	21886
441	17308	21850
442	17352	21817
443	17395	21783
444	17438	21749
445	17484	21718
446	17536	21694
447	17576	21657
448	17621	21625
449	17671	21598
450	17724	21576
451	17769	21543
452	17819	21517
453	17860	21479
454	17902	21443
455	17945	21408
456	17988	21374
457	18034	21342
458	18076	21306
459	18118	21269
460	18156	21228
461	18195	21189
462	18237	21151
463	18280	21117
464	18322	21081
465	18368	21048
466	18410	21012
467	18451	20974
468	18491	20935
469	18532	20898
470	18572	20859
471	18614	20822
472	18663	20794
473	18712	20765
474	18750	20724
475	18790	20685
476	18830	20646
477	18876	20613
478	18927	20587
479	18973	20554
480	19014	20516
481	19055	20478
482	19100	20444
483	19147	20413
484	19186	20373
485	19233	20341
486	19280	20310
487	19325	20276
488	19374	20245
489	19416	20209
490	19464	20178
491	19508	20142
492	19553	20108
493	19599	20075
494	19639	20036
495	19687	20005
496	19732	19970
497	19771	19930
498	19813	19893
499	19855	19855
500	19893	19813
501	19936	19777
502	19980	19741
503	20024	19707
504	20071	19673
505	20108	19631
506	20149	19593
507	20189	19553
508	20235	19519
509	20276	19480
510	20320	19445
511	20369	19414
512	20416	19381
513	20462	19348
514	20504	19309
515	20544	19270
516	20592	19238
517	20642	19207
518	20694	19179
519	20737	19142
520	20783	19108
521	20824	19069
522	20865	19029
523	20914	18998
524	20961	18965
525	21017	18939
526	21060	18902
527	21101	18863
528	21142	18824
529	21195	18795
530	21247	18766
531	21284	18723
532	21326	18685
533	21361	18641
534	21394	18595
535	21428	18550
536	21465	18507
537	21507	18468
538	21542	18425
539	21577	18380
540	21613	18337
541	21659	18302
542	21700	18263
543	21736	18220
544	21778	18181
545	21818	18142
546	21865	18107
547	21904	18067
548	21946	18028
549	21979	17983
550	22017	17941
551	22058	17902
552	22101	17865
553	22145	17828
554	22186	17788
555	22231	17752
556	22268	17711
557	22307	17670
558	22348	17630
559	22389	17591
560	22431	17553
561	22471	17513
562	22512	17474
563	22556	17437
564	22604	17403
565	22647	17365
566	22683	17322
567	22721	17280
568	22755	17236
569	22797	17198
570	22840	17160
571	22887	17125
572	22935	17091
573	22975	17051
574	23015	17011
575	23054	16970
576	23096	16932
577	23131	16888
578	23168	16846
579	23208	16805
580	23251	16768
581	23290	16727
582	23331	16688
583	23372	16648
584	23413	16609
585	23451	16568
586	23495	16530
